Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
10/3/2019,102XX S ARTESIAN AVE,5.8,3.3,1.1
10/12/2019,102XX S ARTESIAN AVE,4.6,5.5,5.8
8/27/2019,102XX S AVENUE L,3.5,1.9,1.7
11/21/2019,102XX S AVENUE L,3.1,2.8,1.9
6/24/2021,102XX S AVENUE L,2.8,9.4,4.8
10/18/2019,102XX S BELL AVE,1.2,5.1,1.1
10/2/2021,102XX S Bensley Ave ,<1.0,<1.0,<1.0
7/23/2016,102XX S BEVERLY AVE,5.4,3.6,3.2
10/15/2020,102XX S CALHOUN AVE,1.8,7.3,1
7/24/2016,102XX S CALIFORNIA AVE,< 1,< 1,< 1
12/15/2018,102XX S CALIFORNIA AVE,4.5,5.7,8.2
4/18/2019,102XX S CALIFORNIA AVE,1.1,4.1,< 1
12/30/2021,102XX S CALIFORNIA AVE ,0.6,<0.5,<0.5
11/21/2019,102XX S CALUMET AVE,2.3,5.2,1.5
2/20/2020,102XX S CALUMET AVE,1.9,3.1,< 1
8/8/2019,102XX S CARPENTER ST,5.1,8.2,4.6
4/9/2019,102XX S CHARLES ST,4.4,9.5,3.1
7/26/2021,102XX S CHARLES ST ,<1.0,<1.0,<1.0
8/1/2016,102XX S CRANDON AVE,2.6,6.4,1.3
6/18/2019,102XX S DR MARTIN LUTHER KING JR DR,3.6,12,1.8
7/25/2019,102XX S EBERHART AVE,1.4,3.1,1.7
9/2/2019,102XX S EBERHART AVE,3.8,4.7,3.1
6/24/2021,102XX S EBERHART AVE,< 1,< 1,< 1
11/15/2018,102XX S FOREST AVE,4.1,3.9,10
11/15/2018,102XX S FOREST AVE,4.1,3.9,10
2/11/2019,102XX S FOREST AVE,See Follow-Up Sequential Sampling Table for Results,,
12/10/2019,102XX S GREEN ST,3.4,11,2.8
9/19/2019,102XX S HOXIE AVE,2.6,2.3,2.1
9/11/2019,102XX S HOYNE AVE,1.9,5.7,2.9
8/20/2019,102XX S LA SALLE ST,1.9,1.7,1.6
9/19/2021,102XX S La Salle St ,140,10,4
7/27/2021,102XX S LAFAYETTE AVE ,4.9,9.4,2.1
9/25/2016,102XX S LEAVITT ST,2.6,3,2.7
7/3/2018,102XX S LEAVITT ST,2.1,4,2.5
4/13/2019,102XX S LEAVITT ST,4.8,3,5.6
3/30/2020,102XX S LEAVITT ST,1.6,1.9,1
8/12/2020,102XX S MAY ST,8.4,7.4,13
8/12/2020,102XX S May St,8.4,7.4,13
6/23/2021,102XX S May St,See Follow-Up Sequential Sampling Table for Results,,
10/28/2021,102XX S MICHIGAN AVE,<1.0,<1.0,<1.0
4/27/2019,102XX S MORGAN ST,1.1,< 1,< 1
2/25/2020,102XX S MORGAN ST,1.7,5.3,1.2
4/30/2021,102XX S MORGAN ST,1.4,3,2.8
4/17/2019,102XX S NORMAL AVE,< 1,< 1,< 1
4/17/2019,102XX S NORMAL AVE,< 1,< 1,< 1
4/2/2019,102XX S OAKLEY AVE,2.3,1.5,< 1
4/7/2019,102XX S OAKLEY AVE,3.1,7.5,1.2
5/17/2019,102XX S OAKLEY AVE,3.1,5,1.1
9/18/2019,102XX S OAKLEY AVE,3,2.4,4.4
5/3/2019,102XX S OGLESBY AVE,13,18,3.5
9/17/2019,102XX S OGLESBY AVE,See Follow-Up Sequential Sampling Table for Results,,
8/21/2019,102XX S PRAIRIE AVE,5.3,5.4,4.8
9/26/2019,102XX S PROSPECT AVE,2.7,3.8,2.1
1/6/2020,102XX S PROSPECT AVE,2.9,6.1,2.3
2/19/2019,102XX S RHODES AVE,3.5,2.6,1.5
1/14/2020,102XX S RHODES AVE,2.3,6.4,2.2
7/28/2021,102XX S SAINT LAWRENCE AVE ,2.9,7.8,3
8/6/2016,102XX S SEELEY AVE,3.1,2.2,2
11/21/2018,102XX S SEELEY AVE,1.9,1.3,< 1
8/6/2016,102XX S SPRINGFIELD AVE,3.8,8.8,3.4
11/27/2019,102XX S SPRINGFIELD AVE,2.3,4.5,1.4
10/11/2019,102XX S VAN VLISSINGEN RD,9.4,11,2.6
4/4/2019,102XX S WASHTENAW AVE,1.9,5.2,1.8
6/21/2016,102XX S WHIPPLE ST,1.4,1.4,1.3
12/7/2018,102XX S WHIPPLE ST,1.7,6.3,1.2
6/21/2019,102XX S YALE AVE,2.5,4.5,5
12/3/2019,102XX S YALE AVE,3.2,1.9,1
5/1/2019,102XX S YATES AVE,21,8.9,4.1
,102XX S YATES AVE,Customer declined further testing,,
6/25/2016,103XX S ALBANY AVE,1.6,1,< 1
6/13/2019,103XX S ALBANY AVE,3.4,7.7,1.9
6/20/2019,103XX S ALBANY AVE,2.1,9.5,2.1
