Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,numAddr,geocode
2/1/2020,100XX S RHODES AVE,1.6,2.3,3.1,10000 S RHODES AVE,"[41.7127014, -87.61054445872054]"
7/23/2019,100XX S SAINT LAWRENCE AVE,4.1,8.6,3.2,10000 S SAINT LAWRENCE AVE,"[41.712725500000005, -87.60930721914198]"
11/25/2019,100XX S SAINT LAWRENCE AVE,3.2,11,1.3,10000 S SAINT LAWRENCE AVE,"[41.712725500000005, -87.60930721914198]"
12/16/2019,100XX S SAINT LAWRENCE AVE,4.9,14,4.4,10000 S SAINT LAWRENCE AVE,"[41.712725500000005, -87.60930721914198]"
3/8/2020,100XX S SAINT LAWRENCE AVE,1.1,< 1,< 1,10000 S SAINT LAWRENCE AVE,"[41.712725500000005, -87.60930721914198]"
9/17/2020,100XX S SANGAMON ST,1.4,2.8,2.7,10000 S SANGAMON ST,"[41.712208, -87.646728]"
7/27/2021,100XX S SANGAMON ST ,2.2,2.8,1.3,10000 S SANGAMON ST ,"[41.712208, -87.646728]"
3/26/2017,100XX S SEELEY AVE,7.4,3.1,1.9,10000 S SEELEY AVE,"[41.71177505, -87.67359986484561]"
10/28/2019,100XX S SEELEY AVE,4.9,4.6,5.7,10000 S SEELEY AVE,"[41.71177505, -87.67359986484561]"
10/31/2019,100XX S STATE ST,1.1,< 1,< 1,10000 S STATE ST,"[41.7124565, -87.62393199536425]"
4/8/2019,100XX S WALLACE ST,1.3,2.6,< 1,10000 S WALLACE ST,"[41.7123143, -87.6384049]"
6/23/2016,100XX S WASHTENAW AVE,4,4.7,11,10000 S WASHTENAW AVE,"[41.71163555, -87.68949290478395]"
6/23/2016,100XX S WASHTENAW AVE,4,4.7,11,10000 S WASHTENAW AVE,"[41.71163555, -87.68949290478395]"
9/16/2016,100XX S WASHTENAW AVE,See Follow-Up Sequential Sampling Table for Results,,,10000 S WASHTENAW AVE,"[41.71163555, -87.68949290478395]"
6/22/2021,100XX S WENTWORTH AVE,1.5,1.1,< 1,10000 S WENTWORTH AVE,"[41.712415899999996, -87.62872998416722]"
11/21/2018,100XX S WINCHESTER AVE,6,6.4,3,10000 S WINCHESTER AVE,"[41.71180755, -87.67096369175891]"
1/31/2020,100XX S WINCHESTER AVE,7.3,7.6,2.2,10000 S WINCHESTER AVE,"[41.71180755, -87.67096369175891]"
2/4/2020,100XX S WINCHESTER AVE,2.6,5.3,1.3,10000 S WINCHESTER AVE,"[41.71180755, -87.67096369175891]"
5/6/2019,100XX S WOOD ST,4.6,9,3.2,10000 S WOOD ST,"[41.711931, -87.667372]"
3/24/2021,100XX S WOOD ST,2.2,1.5,1.4,10000 S WOOD ST,"[41.711931, -87.667372]"
7/11/2016,101XX S ARTESIAN AVE,1.5,4.1,1.4,10100 S ARTESIAN AVE,"[41.70986905, -87.68327791244144]"
12/13/2018,101XX S ARTESIAN AVE,3.7,7.8,2.2,10100 S ARTESIAN AVE,"[41.70986905, -87.68327791244144]"
3/19/2019,101XX S ARTESIAN AVE,2,5.6,< 1,10100 S ARTESIAN AVE,"[41.70986905, -87.68327791244144]"
5/8/2019,101XX S ARTESIAN AVE,2.7,9.6,1.4,10100 S ARTESIAN AVE,"[41.70986905, -87.68327791244144]"
5/19/2019,101XX S ARTESIAN AVE,3,4.4,1.8,10100 S ARTESIAN AVE,"[41.70986905, -87.68327791244144]"
9/2/2019,101XX S ARTESIAN AVE,1.9,4.6,1.7,10100 S ARTESIAN AVE,"[41.70986905, -87.68327791244144]"
8/30/2020,101XX S AVENUE L,1.7,1.6,1.2,10100 S AVENUE L,"[41.71184, -87.536597]"
11/13/2018,101XX S BELL AVE,< 1,< 1,< 1,10100 S BELL AVE,"[41.70983375, -87.67887887967854]"
3/30/2019,101XX S BELL AVE,2.7,1.7,1.2,10100 S BELL AVE,"[41.70983375, -87.67887887967854]"
10/9/2019,101XX S BELL AVE,1.1,1.5,1.1,10100 S BELL AVE,"[41.70983375, -87.67887887967854]"
4/18/2021,101XX S BELL AVE,3.3,13,2.6,10100 S BELL AVE,"[41.70983375, -87.67887887967854]"
,101XX S BELL AVE,Customer declined further testing,,,10100 S BELL AVE,"[41.70983375, -87.67887887967854]"
7/11/2016,101XX S BEVERLY AVE,3.8,12,5.7,10100 S BEVERLY AVE,"[41.7102416, -87.6580576131864]"
11/27/2018,101XX S BEVERLY AVE,< 1,< 1,< 1,10100 S BEVERLY AVE,"[41.7102416, -87.6580576131864]"
1/21/2020,101XX S CALHOUN AVE,1.9,4.6,< 1,10100 S CALHOUN AVE,"[41.7116018, -87.5624546697494]"
3/24/2019,101XX S CALIFORNIA AVE,1.8,2.6,< 1,10100 S CALIFORNIA AVE,"[41.709804, -87.691722]"
12/10/2019,101XX S CALIFORNIA AVE,1.5,1.2,< 1,10100 S CALIFORNIA AVE,"[41.709804, -87.691722]"
9/15/2019,101XX S CARPENTER ST,1.7,4.2,9.2,10100 S CARPENTER ST,"[41.71034895, -87.64929461171874]"
8/18/2021,101XX S CARPENTER ST ,1.8,6.3,2,10100 S CARPENTER ST ,"[41.71034895, -87.64929461171874]"
9/4/2021,101XX S CARPENTER ST ,1.2,1.5,1.4,10100 S CARPENTER ST ,"[41.71034895, -87.64929461171874]"
3/19/2019,101XX S CRANDON AVE,1.2,7.2,1.5,10100 S CRANDON AVE,"[41.71151555, -87.56724143712498]"
8/9/2019,101XX S DR MARTIN LUTHER KING JR DR,3.7,14,2.2,10100 S DR MARTIN LUTHER KING JR DR,"[0, 0]"
10/31/2019,101XX S DR MARTIN LUTHER KING JR DR,23,3.1,1.1,10100 S DR MARTIN LUTHER KING JR DR,"[0, 0]"
1/8/2020,101XX S DR MARTIN LUTHER KING JR DR,See Follow-Up Sequential Sampling Table for Results,,,10100 S DR MARTIN LUTHER KING JR DR,"[0, 0]"
1/14/2020,101XX S DR MARTIN LUTHER KING JR DR,4.7,8.3,1.1,10100 S DR MARTIN LUTHER KING JR DR,"[0, 0]"
6/19/2019,101XX S EBERHART ,16,9,2.3,10100 S EBERHART ,"[0, 0]"
10/16/2019,101XX S EBERHART ,See Follow-Up Sequential Sampling Table for Results,,,10100 S EBERHART ,"[0, 0]"
6/16/2018,101XX S EBERHART AVE,1.8,1.1,1.1,10100 S EBERHART AVE,"[41.71086390000001, -87.61167177579667]"
10/9/2021,101XX S EBERHART AVE ,1.9,2.8,1.8,10100 S EBERHART AVE ,"[41.71086390000001, -87.61167177579667]"
7/11/2016,101XX S EMERALD AVE,1.5,1.2,1.2,10100 S EMERALD AVE,"[41.710446000000005, -87.64198060473677]"
5/9/2019,101XX S EMERALD AVE,1.3,2,1.1,10100 S EMERALD AVE,"[41.710446000000005, -87.64198060473677]"
2/18/2019,101XX S FAIRFIELD AVE,9.5,9.5,4,10100 S FAIRFIELD AVE,"[41.709817, -87.690472]"
4/28/2019,101XX S FOREST AVE,5.8,2.9,1.4,10100 S FOREST AVE,"[41.710796, -87.616402]"
12/19/2019,101XX S FOREST AVE,1.3,< 1,< 1,10100 S FOREST AVE,"[41.710796, -87.616402]"
7/26/2019,101XX S GREEN ST,3.6,5.5,4,10100 S GREEN ST,"[41.7103934, -87.64444825]"
2/21/2019,101XX S HOXIE AVE,1.8,1.6,1.1,10100 S HOXIE AVE,"[41.711617000000004, -87.56124840388189]"
6/25/2018,101XX S HOYNE AVE,1.4,2.6,3.7,10100 S HOYNE AVE,"[41.7099455, -87.67575909537572]"
5/17/2016,101XX S INDIANA AVE,1.9,1.5,1.4,10100 S INDIANA AVE,"[41.710734900000006, -87.61900897672318]"
3/9/2018,101XX S INDIANA AVE,3.4,< 1,< 1,10100 S INDIANA AVE,"[41.710734900000006, -87.61900897672318]"
10/27/2019,101XX S INDIANA AVE,3.8,14,1.7,10100 S INDIANA AVE,"[41.710734900000006, -87.61900897672318]"
12/1/2019,101XX S INDIANA AVE,3.2,1.8,1.6,10100 S INDIANA AVE,"[41.710734900000006, -87.61900897672318]"
8/21/2021,101XX S L ,4,8.9,7.3,10100 S L ,"[0, 0]"
8/13/2021,101XX S LA SALLE ST ,130,3.4,2.5,10100 S LA SALLE ST ,"[41.7106372, -87.6275256806542]"
2/25/2019,101XX S LAFAYETTE AVE,4.1,11,1.8,10100 S LAFAYETTE AVE,"[41.71065995, -87.62510253951612]"
8/13/2021,101XX S LaSalle St,130,3.4,2.5,10100 S LaSalle St,"[41.879333, -87.6322608]"
