"Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","numAddr","geometry"
"1/31/2020","100XX S WINCHESTER AVE","7.3","7.6","2.2","10000 S WINCHESTER AVE",c(-77.5194227857456, 40.1121494486621)
"2/4/2020","100XX S WINCHESTER AVE","2.6","5.3","1.3","10000 S WINCHESTER AVE",c(-77.5194227857456, 40.1121494486621)
"5/6/2019","100XX S WOOD ST","4.6","9","3.2","10000 S WOOD ST",c(-77.5194227858204, 40.1121494585263)
"3/24/2021","100XX S WOOD ST","2.2","1.5","1.4","10000 S WOOD ST",c(-77.5194227858204, 40.1121494585263)
"7/11/2016","101XX S ARTESIAN AVE","1.5","4.1","1.4","10100 S ARTESIAN AVE",c(-77.5194227909018, 40.1121494146752)
"12/13/2018","101XX S ARTESIAN AVE","3.7","7.8","2.2","10100 S ARTESIAN AVE",c(-77.5194227909018, 40.1121494146752)
"3/19/2019","101XX S ARTESIAN AVE","2","5.6","< 1","10100 S ARTESIAN AVE",c(-77.5194227909018, 40.1121494146752)
"5/8/2019","101XX S ARTESIAN AVE","2.7","9.6","1.4","10100 S ARTESIAN AVE",c(-77.5194227909018, 40.1121494146752)
"5/19/2019","101XX S ARTESIAN AVE","3","4.4","1.8","10100 S ARTESIAN AVE",c(-77.5194227909018, 40.1121494146752)
"9/2/2019","101XX S ARTESIAN AVE","1.9","4.6","1.7","10100 S ARTESIAN AVE",c(-77.5194227909018, 40.1121494146752)
"8/30/2020","101XX S AVENUE L","1.7","1.6","1.2","10100 S AVENUE L",c(-77.5194228049237, 40.1121498171817)
"11/13/2018","101XX S BELL AVE","< 1","< 1","< 1","10100 S BELL AVE",c(-77.5194227916596, 40.1121494267362)
"3/30/2019","101XX S BELL AVE","2.7","1.7","1.2","10100 S BELL AVE",c(-77.5194227916596, 40.1121494267362)
"10/9/2019","101XX S BELL AVE","1.1","1.5","1.1","10100 S BELL AVE",c(-77.5194227916596, 40.1121494267362)
"4/18/2021","101XX S BELL AVE","3.3","13","2.6","10100 S BELL AVE",c(-77.5194227916596, 40.1121494267362)
NA,"101XX S BELL AVE","Customer declined further testing",NA,NA,"10100 S BELL AVE",c(-77.5194227916596, 40.1121494267362)
"7/11/2016","101XX S BEVERLY AVE","3.8","12","5.7","10100 S BEVERLY AVE",c(-77.5194227931925, 40.1121494838859)
"11/27/2018","101XX S BEVERLY AVE","< 1","< 1","< 1","10100 S BEVERLY AVE",c(-77.5194227931925, 40.1121494838859)
"1/21/2020","101XX S CALHOUN AVE","1.9","4.6","< 1","10100 S CALHOUN AVE",c(-77.5194228020616, 40.1121497462379)
"3/24/2019","101XX S CALIFORNIA AVE","1.8","2.6","< 1","10100 S CALIFORNIA AVE",c(-77.5194227899216, 40.1121493915092)
"12/10/2019","101XX S CALIFORNIA AVE","1.5","1.2","< 1","10100 S CALIFORNIA AVE",c(-77.5194227899216, 40.1121493915092)
"9/15/2019","101XX S CARPENTER ST","1.7","4.2","9.2","10100 S CARPENTER ST",c(-77.5194227940673, 40.1121495079312)
"8/18/2021","101XX S CARPENTER ST","1.8","6.3","2","10100 S CARPENTER ST",c(-77.5194227940673, 40.1121495079312)
